Volatility 3 Framework 2.0.0

PID	Process	Base	Size	Name	Path	LoadTime	File output

408	csrss.exe	0x7ff7210b0000	0x7000	csrss.exe	C:\Windows\system32\csrss.exe	2021-10-18 14:19:03.000000 	Disabled
408	csrss.exe	0x7ffb276a0000	0x1f0000	-	-	2021-10-18 14:19:03.000000 	Disabled
408	csrss.exe	0x7ffb24550000	0x18000	CSRSRV.dll	C:\Windows\SYSTEM32\CSRSRV.dll	2021-10-18 14:19:03.000000 	Disabled
408	csrss.exe	0x7ffb24530000	0x15000	basesrv.DLL	C:\Windows\system32\basesrv.DLL	2021-10-18 14:19:03.000000 	Disabled
408	csrss.exe	0x7ffb24510000	0x15000	winsrv.DLL	C:\Windows\system32\winsrv.DLL	2021-10-18 14:19:03.000000 	Disabled
408	csrss.exe	0x7ffb25480000	0x2a2000	kernelbase.dll	C:\Windows\System32\kernelbase.dll	2021-10-18 14:19:03.000000 	Disabled
408	csrss.exe	0x7ffb27540000	0xb2000	kernel32.dll	C:\Windows\System32\kernel32.dll	2021-10-18 14:19:03.000000 	Disabled
408	csrss.exe	0x7ffb244e0000	-	-	-	-	Disabled
408	csrss.exe	0x7ffb25bb0000	0x193000	-	-	2021-10-18 14:19:04.000000 	Disabled
408	csrss.exe	0x7ffb25730000	0x21000	win32u.dll	C:\Windows\System32\win32u.dll	2021-10-18 14:19:04.000000 	Disabled
408	csrss.exe	0x7ffb26050000	0x26000	GDI32.dll	C:\Windows\System32\GDI32.dll	2021-10-18 14:19:04.000000 	Disabled
408	csrss.exe	0x7ffb24880000	0x194000			2021-10-18 14:19:04.000000 	Disabled
408	csrss.exe	0x7ffb25200000	0x9e000			2021-10-18 14:19:04.000000 	Disabled
408	csrss.exe	0x7ffb24630000	0xfa000			2021-10-18 14:19:04.000000 	Disabled
408	csrss.exe	0x7ffb26ec0000	0x336000	combase.dll	C:\Windows\System32\combase.dll	2021-10-18 14:19:04.000000 	Disabled
408	csrss.exe	0x7ffb25f30000	0x120000	RPCRT4.dll	C:\Windows\System32\RPCRT4.dll	2021-10-18 14:19:04.000000 	Disabled
408	csrss.exe	0x7ffb252f0000	0x81000	bcryptPrimitives.dll	C:\Windows\System32\bcryptPrimitives.dll	2021-10-18 14:19:04.000000 	Disabled
408	csrss.exe	0x7ffb252a0000	0x4a000			2021-10-18 14:19:04.000000 	Disabled
408	csrss.exe	0x7ffb244d0000	0xe000	sxssrv.DLL	C:\Windows\system32\sxssrv.DLL	2021-10-18 14:19:04.000000 	Disabled
408	csrss.exe	0x7ffb24360000	0x9d000	sxs.dll	C:\Windows\system32\sxs.dll	2021-10-18 14:19:04.000000 	Disabled
484	wininit.exe	0x7ff6caec0000	0x5d000	wininit.exe	C:\Windows\system32\wininit.exe	2021-10-18 14:19:04.000000 	Disabled
484	wininit.exe	0x7ffb276a0000	0x1f0000	-	-	2021-10-18 14:19:04.000000 	Disabled
484	wininit.exe	0x7ffb27540000	0xb2000	KERNEL32.DLL	C:\Windows\System32\KERNEL32.DLL	2021-10-18 14:19:04.000000 	Disabled
484	wininit.exe	0x7ffb25480000	0x2a2000	KERNELBASE.dll	C:\Windows\System32\KERNELBASE.dll	2021-10-18 14:19:04.000000 	Disabled
484	wininit.exe	-	-	-	-	-	Disabled
492	csrss.exe	-	-	-	-	-	Disabled
580	winlogon.exe	0x7ff624ba0000	0xd3000	winlogon.exe	C:\Windows\system32\winlogon.exe	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb276a0000	0x1f0000	-	-	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb27540000	0xb2000	KERNEL32.DLL	C:\Windows\System32\KERNEL32.DLL	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb25480000	0x2a2000	KERNELBASE.dll	C:\Windows\System32\KERNELBASE.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb27420000	0x9e000	msvcrt.dll	C:\Windows\System32\msvcrt.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb26e00000	0x97000	sechost.dll	C:\Windows\System32\sechost.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb25f30000	0x120000	RPCRT4.dll	C:\Windows\System32\RPCRT4.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb26ec0000	0x336000	combase.dll	C:\Windows\System32\combase.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb24630000	0xfa000	ucrtbase.dll	C:\Windows\System32\ucrtbase.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb252f0000	0x81000	bcryptPrimitives.dll	C:\Windows\System32\bcryptPrimitives.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb24580000	0x4a000	powrprof.dll	C:\Windows\System32\powrprof.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb24570000	0x10000	UMPDC.dll	C:\Windows\System32\UMPDC.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb25830000	0xa3000	advapi32.dll	C:\Windows\System32\advapi32.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb245d0000	0x1f000	profapi.dll	C:\Windows\System32\profapi.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb25bb0000	0x193000	user32.dll	C:\Windows\System32\user32.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb25730000	0x21000	win32u.dll	C:\Windows\System32\win32u.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb26050000	0x26000	GDI32.dll	C:\Windows\System32\GDI32.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb24880000	0x194000	gdi32full.dll	C:\Windows\System32\gdi32full.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb25200000	0x9e000	msvcp_win.dll	C:\Windows\System32\msvcp_win.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb272b0000	0x2e000	IMM32.DLL	C:\Windows\System32\IMM32.DLL	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb24400000	0x5c000	winsta.dll	C:\Windows\SYSTEM32\winsta.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb24490000	0x2f000	SspiCli.dll	C:\Windows\system32\SspiCli.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb24460000	0x25000	USERENV.dll	C:\Windows\system32\USERENV.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb23690000	0x27000	profext.dll	C:\Windows\SYSTEM32\profext.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb23650000	0x31000	ntmarta.dll	C:\Windows\SYSTEM32\ntmarta.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb253a0000	0x26000	Bcrypt.dll	C:\Windows\System32\Bcrypt.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb23590000	0x8c000	firewallapi.dll	C:\Windows\SYSTEM32\firewallapi.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb23b20000	0xca000	DNSAPI.dll	C:\Windows\system32\DNSAPI.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb25940000	0x6f000	WS2_32.dll	C:\Windows\System32\WS2_32.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb259b0000	0x8000	NSI.dll	C:\Windows\System32\NSI.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb23ae0000	0x3a000	IPHLPAPI.DLL	C:\Windows\SYSTEM32\IPHLPAPI.DLL	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb23560000	0x2e000	fwbase.dll	C:\Windows\system32\fwbase.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb22c60000	0x1d000	UXINIT.dll	C:\Windows\system32\UXINIT.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb259c0000	0xa9000	shcore.dll	C:\Windows\System32\shcore.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb22f30000	0x2d000	dwmapi.dll	C:\Windows\system32\dwmapi.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb22ba0000	0x99000	UxTheme.dll	C:\Windows\system32\UxTheme.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb24730000	0x149000	CRYPT32.dll	C:\Windows\System32\CRYPT32.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb24610000	0x12000	MSASN1.dll	C:\Windows\System32\MSASN1.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb23980000	0xa000	DPAPI.dll	C:\Windows\system32\DPAPI.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb23f50000	0xc000	CRYPTBASE.dll	C:\Windows\system32\CRYPTBASE.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb22920000	0x13000	dwminit.dll	C:\Windows\SYSTEM32\dwminit.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb22890000	0x8f000	apphelp.dll	C:\Windows\system32\apphelp.dll	2021-10-18 14:19:04.000000 	Disabled
580	winlogon.exe	0x7ffb21290000	0xcf000	dsreg.dll	C:\Windows\system32\dsreg.dll	2021-10-18 14:19:05.000000 	Disabled
580	winlogon.exe	0x7ffb25380000	0x17000	cryptsp.dll	C:\Windows\System32\cryptsp.dll	2021-10-18 14:19:05.000000 	Disabled
580	winlogon.exe	0x7ffb25760000	0xc5000	OLEAUT32.dll	C:\Windows\System32\OLEAUT32.dll	2021-10-18 14:19:05.000000 	Disabled
580	winlogon.exe	0x7ffb211e0000	0x8a000	msvcp110_win.dll	C:\Windows\system32\msvcp110_win.dll	2021-10-18 14:19:05.000000 	Disabled
580	winlogon.exe	0x7ffb1f180000	0x15000	usermgrcli.dll	C:\Windows\SYSTEM32\usermgrcli.dll	2021-10-18 14:19:05.000000 	Disabled
580	winlogon.exe	0x7ffb245f0000	0x11000	kernel.appcore.dll	C:\Windows\System32\kernel.appcore.dll	2021-10-18 14:19:05.000000 	Disabled
580	winlogon.exe	0x7ffb1b760000	0x1b000	MPR.dll	C:\Windows\system32\MPR.dll	2021-10-18 14:19:07.000000 	Disabled
580	winlogon.exe	0x7ffb157c0000	0x15000	vmhgfs.dll	C:\Windows\System32\vmhgfs.dll	2021-10-18 14:19:07.000000 	Disabled
580	winlogon.exe	0x7ffb1e950000	0xa000	VERSION.dll	C:\Windows\System32\VERSION.dll	2021-10-18 14:19:07.000000 	Disabled
580	winlogon.exe	0x7ffb1aa20000	0x19000	VCRUNTIME140.dll	C:\Windows\System32\VCRUNTIME140.dll	2021-10-18 14:19:07.000000 	Disabled
580	winlogon.exe	0x7ffb156e0000	0xb000	drprov.dll	C:\Windows\System32\drprov.dll	2021-10-18 14:19:07.000000 	Disabled
580	winlogon.exe	0x7ffb156c0000	0x15000	ntlanman.dll	C:\Windows\System32\ntlanman.dll	2021-10-18 14:19:07.000000 	Disabled
580	winlogon.exe	0x7ffb156a0000	0x1d000	davclnt.dll	C:\Windows\System32\davclnt.dll	2021-10-18 14:19:07.000000 	Disabled
580	winlogon.exe	0x7ffb15690000	0xc000	DAVHLPR.dll	C:\Windows\System32\DAVHLPR.dll	2021-10-18 14:19:07.000000 	Disabled
580	winlogon.exe	0x7ffb155f0000	0xa000	mprext.dll	C:\Windows\SYSTEM32\mprext.dll	2021-10-18 14:19:07.000000 	Disabled
580	winlogon.exe	0x7ffb236c0000	0x4a000	AUTHZ.dll	C:\Windows\system32\AUTHZ.dll	2021-10-18 14:19:08.000000 	Disabled
620	services.exe	0x7ff63d5c0000	0xa7000	services.exe	C:\Windows\system32\services.exe	2021-10-18 14:19:04.000000 	Disabled
620	services.exe	0x7ffb276a0000	0x1f0000	-	-	2021-10-18 14:19:04.000000 	Disabled
620	services.exe	0x7ffb27540000	0xb2000	-	-	-	Disabled
620	services.exe	-	-	-	-	-	Disabled
640	lsass.exe	0x7ff7edeb0000	0x11000	lsass.exe	C:\Windows\system32\lsass.exe	2021-10-18 14:19:04.000000 	Disabled
640	lsass.exe	0x7ffb276a0000	0x1f0000	ntdll.dll	C:\Windows\SYSTEM32\ntdll.dll	2021-10-18 14:19:04.000000 	Disabled
640	lsass.exe	0x7ffb27540000	0xb2000	KERNEL32.DLL	C:\Windows\System32\KERNEL32.DLL	2021-10-18 14:19:04.000000 	Disabled
640	lsass.exe	0x7ffb25480000	0x2a2000	KERNELBASE.dll	C:\Windows\System32\KERNELBASE.dll	2021-10-18 14:19:04.000000 	Disabled
