Volatility 3 Framework 2.0.0

PID	Process	Block	Variable	Value

288	smss.exe	0x26763602900	Path	C:\Windows\System32
288	smss.exe	0x26763602900	SystemDrive	C:
288	smss.exe	0x26763602900	SystemRoot	C:\Windows
408	csrss.exe	0x13ee7802de0	ComSpec	C:\Windows\system32\cmd.exe
408	csrss.exe	0x13ee7802de0	DriverData	C:\Windows\System32\Drivers\DriverData
408	csrss.exe	0x13ee7802de0	NUMBER_OF_PROCESSORS	2
408	csrss.exe	0x13ee7802de0	OS	Windows_NT
408	csrss.exe	0x13ee7802de0	Path	C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\
408	csrss.exe	0x13ee7802de0	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
408	csrss.exe	0x13ee7802de0	PROCESSOR_ARCHITECTURE	AMD64
408	csrss.exe	0x13ee7802de0	PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 165 Stepping 2, GenuineIntel
408	csrss.exe	0x13ee7802de0	PROCESSOR_LEVEL	6
408	csrss.exe	0x13ee7802de0	PROCESSOR_REVISION	a502
408	csrss.exe	0x13ee7802de0	PSModulePath	%ProgramFiles%\WindowsPowerShell\Modules;C:\Windows\system32\WindowsPowerShell\v1.0\Modules
408	csrss.exe	0x13ee7802de0	SystemDrive	C:
408	csrss.exe	0x13ee7802de0	SystemRoot	C:\Windows
408	csrss.exe	0x13ee7802de0	TEMP	C:\Windows\TEMP
408	csrss.exe	0x13ee7802de0	TMP	C:\Windows\TEMP
408	csrss.exe	0x13ee7802de0	USERNAME	SYSTEM
408	csrss.exe	0x13ee7802de0	windir	C:\Windows
484	wininit.exe	0x24e51ff15c0	ALLUSERSPROFILE	C:\ProgramData
484	wininit.exe	0x24e51ff15c0	CommonProgramFiles	C:\Program Files\Common Files
484	wininit.exe	0x24e51ff15c0	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
484	wininit.exe	0x24e51ff15c0	CommonProgramW6432	C:\Program Files\Common Files
484	wininit.exe	0x24e51ff15c0	COMPUTERNAME	DESKTOP-G8BLC8O
484	wininit.exe	0x24e51ff15c0	ComSpec	C:\Windows\system32\cmd.exe
