Volatility 3 Framework 2.0.0

Offset	Name	Size

0xc701437621f0	\Windows\System32\drivers\mouhid.sys	216
0xc70143762640	\$Directory	216
0xc701437627b0	\Windows\System32\drivers\ahcache.sys	216
0xc70143762c00	\Windows\System32\drivers\fastfat.sys	216
0xc70143762ee0	\Windows\apppatch\sysmain.sdb	216
0xc701437634a0	\Windows\System32\drivers\Vid.sys	216
0xc70143763a60	\Windows\System32\drivers\bam.sys	216
0xc70143763eb0	\Windows\System32\DriverStore\FileRepository\umbus.inf_amd64_0a69be6a385b49f7\umbus.sys	216
0xc70143764190	\Windows\bootstat.dat	216
0xc70143764300	\Windows\System32\drivers\winhvr.sys	216
0xc701437645e0	\Windows\System32\DriverStore\FileRepository\compositebus.inf_amd64_160f98ccef202f85\CompositeBus.sys	216
0xc70143764a30	\Windows\System32\drivers\kdnic.sys	216
0xc70143764d10	\Windows\System32\smss.exe	216
0xc70143767390	\Windows\System32\drivers\pacer.sys	216
0xc70143767500	\Windows\System32\drivers\afunix.sys	216
0xc701437677e0	\Windows\System32\drivers\netbios.sys	216
0xc70143767c30	\Windows\System32\CatRoot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-OfflineFiles-base-Package~31bf3856ad364e35~amd64~~10.0.18362.1.cat	216
0xc70143767da0	\Windows\System32\drivers\vwififlt.sys	216
0xc70143768360	\Windows\System32\CatRoot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Client-Desktop-Required-Package04113~31bf3856ad364e35~amd64~~10.0.18362.1.cat	216
0xc70143768640	\Windows\System32\CatRoot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Client-Desktop-Required-Package03~31bf3856ad364e35~amd64~~10.0.18362.30.cat	216
0xc70143768a90	\Windows\System32\drivers\ws2ifsl.sys	216
0xc70143768d70	\Windows\System32\drivers\csc.sys	216
0xc70143768ee0	\Windows\System32\drivers\rdbss.sys	216
0xc701437698f0	\Windows\System32\drivers\nsiproxy.sys	216
0xc70143769bd0	\Windows\System32\drivers\afd.sys	216
0xc70143769d40	\Windows\System32\drivers\netbt.sys	216
0xc7014376a750	\Windows\System32\drivers\npsvctrig.sys	216
0xc7014376a8c0	\Windows\System32\drivers\dfsc.sys	216
0xc7014376aa30	\Windows\System32\drivers\mssmbios.sys	216
0xc7014376aba0	\Windows\System32\drivers\gpuenergydrv.sys	216
0xc7014376ad10	\Windows\System32\CatRoot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Client-Desktop-Required-Package~31bf3856ad364e35~amd64~~10.0.18362.30.cat	216
0xc70143ac1d90	\$Mft	216
0xc70143ac27a0	\$Directory	216
0xc70143ac2910	\$MftMirr	216
0xc70143ac2a80	\$BitMap	216
0xc70143ac2d60	\$LogFile	216
0xc70143f650a0	\$Secure:$SII:$INDEX_ALLOCATION	216
0xc70143f65210	\:$I30:$INDEX_ALLOCATION	216
0xc70143f65380	\$Extend\$RmMetadata\$TxfLog\$TxfLog.blf	216
0xc70143f654f0	\$Extend\$RmMetadata\$Repair:$Corrupt:$DATA	216
0xc70143f657d0	\$Secure:$SDS:$DATA	216
0xc70143f65ab0	\$Extend\$RmMetadata\$Repair	216
0xc70143f65c20	\$Extend\$RmMetadata\$Repair:$Verify:$DATA	216
0xc70143f66070	\$Extend:$I30:$INDEX_ALLOCATION	216
0xc70143f66350	\$Extend\$Deleted:$I30:$INDEX_ALLOCATION	216
0xc70143f664c0	\Windows\System32\drivers\hidclass.sys	216
0xc70143f66630	\Device\HarddiskVolume4\$Extend\$RmMetadata\$TxfLog\$TxfLog	216
0xc70143f66a80	\$Mft::$BITMAP	216
0xc70143f66bf0	\$Extend\$UsnJrnl:$J:$DATA	216
0xc70143f66ed0	\Windows\System32\drivers\crashdmp.sys	216
0xc70143f7f0a0	\$Extend\$RmMetadata\$Txf:$I30:$INDEX_ALLOCATION	216
0xc70143f7f4f0	TxfLog	216
0xc70143f7f660	\$Extend\$RmMetadata\$TxfLog\$Tops	216
0xc70143f7f7d0	\Device\HarddiskVolume4\$Extend\$RmMetadata\$TxfLog\$TxfLog	216
0xc70143f7f940	\$Directory	216
0xc70143f7fab0	\$Directory	216
0xc70143f7fd90	KtmLog	216
0xc70143f80070	\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000002	216
0xc70143f80350	\$Extend\$Reparse:$R:$INDEX_ALLOCATION	216
0xc70143f804c0	\Device\HarddiskVolume4\$Extend\$RmMetadata\$TxfLog\$TxfLog	216
0xc70143f80630	\:$I30:$INDEX_ALLOCATION	216
0xc70143f80a80	\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000001	216
0xc70143f80d60	\$Extend\$RmMetadata\$TxfLog\$Tops:$T:$DATA	216
0xc70143f80ed0	\$Directory	216
0xc70143fc1210	\$Directory	216
0xc70143fc17d0	\Windows\SysWOW64\ntdll.dll	216
0xc70143fc2070	\$Directory	216
0xc70143fc21e0	\Windows\System32\vertdll.dll	216
0xc70143fc24c0	\Windows\System32\drivers\stornvme.sys	216
0xc70143fc2630	\Windows\System32\drivers\cdrom.sys	216
0xc70143fc2bf0	\Windows\System32\ntdll.dll	216
0xc70143fc2ed0	\Windows\System32\drivers\dumpfve.sys	216
0xc70143ff3950	\Windows\System32\drivers\vmrawdsk.sys	216
0xc70143ff3ac0	\Windows\System32\drivers\filecrypt.sys	216
0xc70143ff41f0	\Windows\System32\drivers\null.sys	216
0xc70143ff4360	\Windows\System32\drivers\beep.sys	216
0xc70143ff44d0	\Windows\System32\drivers\watchdog.sys	216
0xc70143ff4c00	\Windows\System32\DriverStore\FileRepository\basicdisplay.inf_amd64_25ab9510fd18cfda\BasicDisplay.sys	216
0xc70143ff4ee0	\Windows\System32\drivers\tbs.sys	216
0xc70143ff54a0	\$Directory	216
0xc70143ff5610	\Windows\System32\drivers\dxgkrnl.sys	216
0xc70143ff58f0	\$Directory	216
0xc70143ff5bd0	\Windows\System32\drivers\hidusb.sys	216
0xc70143ff5d40	\$Directory	216
0xc70143ff6300	\Windows\System32\DriverStore\FileRepository\basicrender.inf_amd64_9ff437f462543a42\BasicRender.sys	216
0xc70143ff65e0	\Windows\System32\drivers\npfs.sys	216
0xc70143ff68c0	\Windows\System32\drivers\msfs.sys	216
0xc70143ff6ba0	\Windows\System32\drivers\tdx.sys	216
0xc70143ff6e80	\Windows\System32\drivers\tdi.sys	216
0xc70146003090	\Windows\System32\drivers\usbhub.sys	216
0xc70146003aa0	\Windows\System32\drivers\usbd.sys	216
0xc70146004ec0	\$Mft	216
0xc701460051a0	\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog	216
0xc70146005480	\$Extend\$RmMetadata\$TxfLog\$TxfLog.blf	216
0xc701460055f0	\$Secure:$SII:$INDEX_ALLOCATION	216
0xc70146005760	\:$I30:$INDEX_ALLOCATION	216
0xc701460058d0	\$Extend:$I30:$INDEX_ALLOCATION	216
0xc70146005e90	\$Mft::$BITMAP	216
0xc701460065c0	\Windows\System32\drivers\ru-RU\USBXHCI.SYS.mui	216
0xc70146006cf0	\$Secure:$SDS:$DATA	216
0xc70146006e60	\$BitMap	216
0xc70146007590	\$Directory	216
0xc70146007700	\Windows\System32\drivers\USBHUB3.SYS	216
0xc70146007870	\$MftMirr	216
0xc701460079e0	\$LogFile	216
0xc70146007cc0	\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000002	216
