Foremost version 1.5.7 by Jesse Kornblum, Kris Kendall, and Nick Mikus
Audit File

Foremost started at Sat Dec 11 18:16:27 2021
Invocation: foremost memdump.mem 
Output directory: /mnt/d/CTFs/2021/НТО, 2-й этап/Windows moment/output
Configuration file: /etc/foremost.conf
------------------------------------------------------------------
File: memdump.mem
Start: Sat Dec 11 18:16:27 2021
Length: 2 GB (2147483648 bytes)
 
Num	 Name (bs=512)	       Size	 File Offset	 Comment 

0:	00004408.dll 	     546 KB 	    2256896 	 05/19/2097 02:53:57
1:	00007264.dll 	     267 KB 	    3719168 	 04/30/2083 15:55:38
2:	00012536.dll 	     512 KB 	    6418432 	 08/18/2090 04:39:30
3:	00014344.dll 	     464 KB 	    7344128 	 02/04/2016 16:54:00
4:	00029048.dll 	       2 MB 	   14872576 	 12/08/2053 09:48:05
5:	00036176.dll 	       4 KB 	   18522112 	 01/01/1970 00:00:00
6:	00041192.dll 	      24 KB 	   21090304 	 01/01/1970 00:00:00
7:	00047136.dll 	     393 KB 	   24133632 	 01/22/2019 18:28:39
8:	00049008.dll 	      72 KB 	   25092096 	 01/01/1970 00:00:00
9:	00050192.dll 	     464 KB 	   25698304 	 02/04/2016 16:54:00
10:	00078736.dll 	       8 KB 	   40312832 	 11/08/2092 18:13:28
11:	00079816.dll 	     258 KB 	   40865792 	 02/09/2074 00:01:23
12:	00080792.dll 	     476 KB 	   41365504 	 01/12/2008 20:33:10
13:	00082705.dll 	       4 KB 	   42345248 	 01/01/1970 00:00:00
14:	00083120.dll 	      57 KB 	   42557440 	 06/06/2103 03:35:07
15:	00096784.dll 	     487 KB 	   49553408 	 08/20/2096 17:56:13
16:	00115464.dll 	     130 KB 	   59117568 	 07/11/2089 07:21:39
17:	00116456.dll 	     674 KB 	   59625472 	 08/28/2023 04:05:59
18:	00120504.dll 	     487 KB 	   61698048 	 08/20/2096 17:56:13
19:	00122456.dll 	     462 KB 	   62697472 	 01/01/1970 00:00:00
20:	00141104.dll 	     462 KB 	   72245248 	 01/01/1970 00:00:00
21:	00149384.dll 	     487 KB 	   76484608 	 08/20/2096 17:56:13
22:	00165704.dll 	      74 KB 	   84840448 	 10/25/2099 09:26:35
23:	00168192.dll 	      18 KB 	   86114304 	 01/01/1970 00:00:00
24:	00169488.dll 	       1 MB 	   86777856 	 07/15/2035 02:20:48
25:	00172680.dll 	     735 KB 	   88412160 	 03/20/2035 22:23:15
26:	00174472.dll 	       1 MB 	   89329664 	 07/21/2046 13:19:59
27:	00178192.dll 	     604 KB 	   91234304 	 11/08/2094 07:37:18
28:	00180872.dll 	      12 KB 	   92606464 	 01/01/1970 00:00:00
29:	00031870.png 	      255 B 	   16317736 	  (20 x 20)
30:	00033065.png 	       1 KB 	   16929472 	  (110 x 48)
31:	00042376.png 	      187 B 	   21696632 	  (48 x 48)
32:	00042376_1.png 	      193 B 	   21696824 	  (50 x 50)
33:	00042377.png 	      189 B 	   21697024 	  (60 x 60)
34:	00042377_1.png 	      213 B 	   21697216 	  (64 x 64)
35:	00042377_2.png 	      225 B 	   21697432 	  (80 x 80)
36:	00042378.png 	      112 B 	   21697664 	  (16 x 16)
37:	00042378_1.png 	      114 B 	   21697776 	  (20 x 20)
38:	00042378_2.png 	      117 B 	   21697896 	  (24 x 24)
39:	00042378_3.png 	      122 B 	   21698016 	  (25 x 25)
40:	00042379.png 	      127 B 	   21698144 	  (30 x 30)
41:	00042379_1.png 	      149 B 	   21698272 	  (32 x 32)
42:	00042379_2.png 	      155 B 	   21698424 	  (40 x 40)
43:	00042380.png 	      182 B 	   21698584 	  (48 x 48)
44:	00042380_1.png 	      185 B 	   21698768 	  (50 x 50)
45:	00042380_2.png 	      190 B 	   21698960 	  (60 x 60)
46:	00042381.png 	      212 B 	   21699152 	  (64 x 64)
47:	00042381_1.png 	      221 B 	   21699368 	  (80 x 80)
48:	00042382.png 	      207 B 	   21699592 	  (16 x 16)
49:	00042382_1.png 	      234 B 	   21699800 	  (20 x 20)
50:	00042382_2.png 	      286 B 	   21700040 	  (24 x 24)
51:	00042383.png 	      283 B 	   21700328 	  (25 x 25)
52:	00079696.png 	      369 B 	   40804352 	  (44 x 44)
53:	00104705.png 	      162 B 	   53609032 	  (72 x 72)
54:	00114268.png 	      415 B 	   58505504 	  (32 x 32)
55:	00114270.png 	      415 B 	   58506528 	  (32 x 32)
56:	00145747.png 	       2 KB 	   74622800 	  (128 x 128)
57:	00184786.png 	       2 KB 	   94610680 	  (288 x 16)
58:	00195280.png 	      211 B 	   99983808 	  (29 x 18)
59:	00195282.png 	      214 B 	   99984832 	  (29 x 18)
60:	00238980.gif 	       1 KB 	  122358268 	  (175 x 312)
61:	00240314.bmp 	       4 KB 	  123040802 	  (32 x 32)
62:	00280240.dll 	       1 MB 	  143482880 	 10/14/2036 06:31:25
63:	00283776.dll 	       1 MB 	  145293312 	 10/14/2036 06:31:25
64:	00287736.dll 	     182 KB 	  147320832 	 09/14/2080 17:37:56
65:	00288912.dll 	       2 MB 	  147922944 	 09/08/2048 10:44:03
66:	00327728.dll 	      92 KB 	  167796736 	 06/14/2056 07:35:27
